iteration,filename,rssi_temporal_A_a_mean,rssi_temporal_A_a_std,rssi_temporal_A_a_max,rssi_temporal_A_a_min,rssi_temporal_A_b_mean,rssi_temporal_A_b_std,rssi_temporal_A_b_max,rssi_temporal_A_b_min,rssi_temporal_A_c_mean,rssi_temporal_A_c_std,rssi_temporal_A_c_max,rssi_temporal_A_c_min,rssi_temporal_A_d_mean,rssi_temporal_A_d_std,rssi_temporal_A_d_max,rssi_temporal_A_d_min,rssi_temporal_A_e_mean,rssi_temporal_A_e_std,rssi_temporal_A_e_max,rssi_temporal_A_e_min,rssi_temporal_A_f_mean,rssi_temporal_A_f_std,rssi_temporal_A_f_max,rssi_temporal_A_f_min,rssi_temporal_B_a_mean,rssi_temporal_B_a_std,rssi_temporal_B_a_max,rssi_temporal_B_a_min,rssi_temporal_B_b_mean,rssi_temporal_B_b_std,rssi_temporal_B_b_max,rssi_temporal_B_b_min,rssi_temporal_B_c_mean,rssi_temporal_B_c_std,rssi_temporal_B_c_max,rssi_temporal_B_c_min,rssi_temporal_B_d_mean,rssi_temporal_B_d_std,rssi_temporal_B_d_max,rssi_temporal_B_d_min,rssi_temporal_B_e_mean,rssi_temporal_B_e_std,rssi_temporal_B_e_max,rssi_temporal_B_e_min,rssi_temporal_B_f_mean,rssi_temporal_B_f_std,rssi_temporal_B_f_max,rssi_temporal_B_f_min,rssi_temporal_C_a_mean,rssi_temporal_C_a_std,rssi_temporal_C_a_max,rssi_temporal_C_a_min,rssi_temporal_C_b_mean,rssi_temporal_C_b_std,rssi_temporal_C_b_max,rssi_temporal_C_b_min,rssi_temporal_C_c_mean,rssi_temporal_C_c_std,rssi_temporal_C_c_max,rssi_temporal_C_c_min,rssi_temporal_C_d_mean,rssi_temporal_C_d_std,rssi_temporal_C_d_max,rssi_temporal_C_d_min,rssi_temporal_C_e_mean,rssi_temporal_C_e_std,rssi_temporal_C_e_max,rssi_temporal_C_e_min,rssi_temporal_C_f_mean,rssi_temporal_C_f_std,rssi_temporal_C_f_max,rssi_temporal_C_f_min,rssi_temporal_D_a_mean,rssi_temporal_D_a_std,rssi_temporal_D_a_max,rssi_temporal_D_a_min,rssi_temporal_D_b_mean,rssi_temporal_D_b_std,rssi_temporal_D_b_max,rssi_temporal_D_b_min,rssi_temporal_D_c_mean,rssi_temporal_D_c_std,rssi_temporal_D_c_max,rssi_temporal_D_c_min,rssi_temporal_D_d_mean,rssi_temporal_D_d_std,rssi_temporal_D_d_max,rssi_temporal_D_d_min,rssi_temporal_D_e_mean,rssi_temporal_D_e_std,rssi_temporal_D_e_max,rssi_temporal_D_e_min,rssi_temporal_D_f_mean,rssi_temporal_D_f_std,rssi_temporal_D_f_max,rssi_temporal_D_f_min,target_busy,target_throughput,target_channel
1,it0001_08-04-19_17-24-00.mat,33.6569,82.68238374883732,537,0,30.45097,86.1678105562576,550,0,25.56934,72.49284497082729,609,0,21.94423,73.46950142546973,595,0,4.79344,33.02886484525921,625,0,13.65252,67.99439504583889,548,0,40.34645,88.00893921868106,532,0,6.54948,27.961382507479847,660,0,23.5064,74.69663940928,620,0,30.47037,86.07823105793415,632,0,20.45525,75.14044155737642,598,0,4.37714,34.91002843625883,469,0,56.04742,106.04691721753916,661,0,35.3599,76.79996296867596,600,0,24.48567,72.45933959574224,601,0,1.99863,15.46969192075589,483,0,12.94096,57.39141115426942,559,0,0.06577,2.1270224039957832,314,0,36.90537,78.2479688884197,486,0,27.40384,61.74898034181941,490,0,15.85618,52.1894310738065,489,0,0.09375,2.4634489922667364,169,0,7.47946,12.483716518264902,139,0,0.04083,0.7374841768472054,33,0,0,0.006402228739002933,rssi_temporal_B_b
2,it0002_08-04-19_17-24-09.mat,32.15279,81.33548367850221,509,0,29.88788,85.95190055551768,631,0,23.00491,70.61457091770721,558,0,22.052,73.04771164109113,615,0,4.47735,31.346374383291916,669,0,6.36929,45.167545371603936,433,0,38.52495,84.89949798142213,518,0,6.94168,28.579347067027268,641,0,22.6465,72.63595334095919,587,0,29.09541,83.7875710766931,572,0,19.4527,72.90236554947994,555,0,0.51175,3.3798316433662787,110,0,56.20354,106.41790117958726,643,0,35.17066,76.93018988124493,569,0,25.14311,74.26513980009666,597,0,1.95812,15.028940949567936,492,0,13.28068,58.514551512744255,572,0,0.09758,3.8590384998856915,298,0,36.48221,77.16048822756308,521,0,27.18646,61.60580112837101,495,0,15.19199,50.494016970725355,471,0,0.09185,2.674253835652106,180,0,7.75774,12.76669378078757,98,0,0.06644,1.7965427148832285,162,0,0,0.006785610948191593,rssi_temporal_B_b
3,it0003_08-04-19_17-24-18.mat,32.83489,81.86167570168534,525,0,29.33539,86.49705846760281,555,0,22.58919,69.21842518537892,458,0,21.32377,71.46085112134546,596,0,4.40692,32.10643356266155,684,0,6.61926,45.65088495366109,438,0,37.38546,83.60221516555886,544,0,6.50899,27.300783490220567,601,0,22.71852,72.91500565048048,516,0,29.41816,84.78622542733224,722,0,19.50572,72.49500332630933,643,0,0.59695,6.506758078913032,312,0,54.39815,104.4302821339553,623,0,34.52135,75.53670818997543,497,0,24.41794,72.0693079344904,546,0,1.91383,14.273734085063372,485,0,13.33874,58.0799703444518,572,0,0.15664,5.009712956886851,292,0,36.74088,77.8097109416659,580,0,27.15193,60.743135145258194,431,0,15.03149,50.350967799833796,465,0,0.10149,2.7679143375292523,159,0,7.36135,12.277844117657628,92,0,0.12514,3.1663417346205702,204,0,0,0.0063626490713587485,rssi_temporal_B_b
4,it0004_08-04-19_17-24-27.mat,38.78607,92.5159365944868,595,0,29.39079,86.83133416673903,566,0,22.73571,70.48341748805815,619,0,22.48526,74.38499635499352,619,0,4.91904,33.77653957228893,634,0,6.21229,43.731505839107584,431,0,42.30443,91.66743670669045,579,0,6.71118,28.49071503152562,658,0,23.14657,73.6587215965299,580,0,30.93839,88.23605846935764,792,0,20.30922,75.04351459647663,600,0,0.59278,4.80756194672518,251,0,57.29037,106.97509567774689,592,0,34.86808,75.48676252902624,531,0,24.45998,73.30947127349646,620,0,2.24262,17.881427111268273,488,0,13.82115,59.80515481693446,584,0,0.13502,4.482326360228581,282,0,38.38636,80.6663216339409,569,0,27.06414,61.31332714883771,464,0,15.03404,50.58669846193166,511,0,0.10446,2.780594919868768,187,0,7.52988,12.598173962348671,134,0,0.09018,2.167968534734764,158,0,0,0.006560293255131964,rssi_temporal_B_b
5,it0005_08-04-19_17-24-36.mat,33.50388,82.43123464406925,538,0,29.69057,87.03286553409062,616,0,24.24275,72.48085693779771,602,0,23.52378,76.36955266669827,619,0,5.34455,37.15798642684369,659,0,6.38233,45.4784422971049,448,0,42.70463,90.24223338638677,552,0,8.84442,30.923973788366848,625,0,24.14955,77.12507053350097,673,0,31.18518,88.83866066284205,776,0,21.03095,76.78468696359646,714,0,0.74898,8.808462349332032,388,0,56.66812,108.00146922919892,641,0,91.28016,168.6386803505483,742,0,26.24592,77.02333765394486,625,0,2.7737,21.889785935682426,610,0,16.03857,67.65503220274971,626,0,0.23619,7.504484278343183,415,0,38.59804,81.66094236633815,561,0,29.79567,62.582125237571624,521,0,16.67098,54.51595038004565,505,0,0.15231,3.7105460061694435,206,0,7.82927,14.458287632603662,248,0,0.1678,5.291691899572386,297,0,0,0.008645571847507331,rssi_temporal_B_b
6,it0006_08-04-19_17-24-46.mat,36.47196,88.48221557894219,624,0,30.4794,88.57697542612301,818,0,24.9574,75.0485756376495,905,0,22.72221,75.47538991430187,650,0,4.87319,35.3463589245611,663,0,7.14084,48.25381833693992,765,0,41.49101,89.38490845316059,580,0,6.82982,29.06418240321926,616,0,24.29472,76.69834913556875,616,0,30.59958,86.36475927033896,727,0,20.33045,74.60861058080026,628,0,0.78999,8.66731941259234,334,0,56.62825,106.5707767257868,627,0,38.20002,81.70872726948818,599,0,26.2385,77.81013608618096,714,0,2.73279,25.131462926298177,878,0,17.58881,73.43154780326981,656,0,0.05463,1.912654062579012,317,0,37.73504,79.36850947446601,709,0,27.07599,61.6338984287048,498,0,16.67537,55.597506826863196,771,0,0.16507,4.12055844456792,231,0,7.91512,15.525201943472425,265,0,0.08836,2.541651532055486,204,0,0,0.006676265884652981,rssi_temporal_B_b
7,it0007_08-04-19_17-24-55.mat,36.1067,88.0603992445526,654,0,35.19296,97.70876238310666,597,0,23.55757,70.54435346429294,555,0,22.4624,72.68010612430338,612,0,4.92743,35.23010677808258,660,0,12.81211,62.30250996025681,450,0,43.41878,92.18838073917776,648,0,8.0095,32.652249995214724,622,0,23.41119,74.88915898034843,580,0,30.39989,85.97172278131862,616,0,20.82667,74.32022891993202,624,0,0.9832,8.126545253673298,301,0,58.39905,109.55232808615936,656,0,40.70465,82.08508231327724,582,0,25.00282,73.71466266657944,595,0,1.84879,13.209975228436274,456,0,14.36879,61.36295889163023,582,0,0.31133,6.907002506956257,326,0,40.66396,83.96225817067095,646,0,27.17177,62.148730196739336,575,0,14.97369,50.18068650171996,488,0,0.12661,3.264846077214055,174,0,7.38222,12.564081656515928,198,0,0.1619,3.5817800588534183,222,0,0,0.007829423264907135,rssi_temporal_B_b
8,it0008_08-04-19_17-25-04.mat,35.25659,85.24647014141934,580,0,30.2995,87.53920081740522,640,0,24.93829,74.0031231900107,577,0,24.13186,76.57759563305967,633,0,4.59117,33.258580667717915,636,0,13.76054,65.94867230588042,501,0,41.0396,89.22285991740009,626,0,15.10031,49.484942234015996,695,0,23.87625,76.30551903982764,632,0,29.73548,85.06623800997433,616,0,19.60221,72.46847765143063,606,0,0.89041,7.216943953772953,319,0,55.30633,105.97162191799794,647,0,35.44051,77.35972466949387,557,0,25.78463,75.87122053692758,595,0,2.05422,15.046971794736638,493,0,14.28515,61.58203633753516,598,0,0.26315,7.106924938220469,453,0,38.57035,80.9301658893487,542,0,28.25562,64.23458304072348,500,0,16.00237,53.52488733648209,494,0,0.11423,3.1127321611568193,190,0,7.48001,12.458967067935447,119,0,0.21658,5.521303569230731,331,0,0,0.014760811339198437,rssi_temporal_B_b
9,it0009_08-04-19_17-25-13.mat,37.51922,88.41644072564559,585,0,31.70843,90.56847142872127,588,0,23.12196,69.58286646695721,567,0,22.00209,73.18535882013492,578,0,4.20148,32.14962372734089,669,0,12.98033,64.5961793227053,694,0,41.75779,90.1141097959465,585,0,7.77005,33.375601462707756,658,0,23.12241,73.84379964351713,590,0,28.78033,83.80642156237849,750,0,20.5013,75.70659534221572,663,0,1.1015,14.650578751366787,673,0,54.83908,104.81165023390099,658,0,39.01516,81.69842330286674,509,0,28.93952,81.8346841025833,570,0,2.08825,15.59080632736806,479,0,13.33533,58.4965561703516,581,0,0.27053,6.843813521648585,291,0,39.12941,81.93187135084796,576,0,27.28221,61.6691493983491,522,0,14.96788,49.89743328374316,436,0,0.11439,2.92301298798004,170,0,7.30672,12.361049423151744,211,0,0.18537,5.232598586085121,348,0,0,0.007595356793743891,rssi_temporal_B_b
10,it0010_08-04-19_17-25-22.mat,35.94852,87.69100563803336,608,0,31.56499,90.17229838647731,652,0,23.62287,71.77489493522857,609,0,23.39238,76.64793629273785,627,0,4.67963,33.78136073433248,662,0,6.41053,44.72278429524597,445,0,45.42809,95.8096395408724,562,0,8.38569,36.61620369759678,712,0,24.20923,76.9105231604044,596,0,29.48097,84.6165365508368,611,0,24.4802,82.78795533143695,657,0,0.49162,3.301495081868213,88,0,56.12689,105.96027118183447,619,0,41.31471,85.33421756608483,542,0,26.34044,77.81036923576704,612,0,2.15708,15.921833621590196,510,0,31.71501,94.86541735901392,561,0,0.03366,0.6527227622812001,32,0,39.9141,82.15676114106495,563,0,28.66041,64.23441981237083,486,0,16.25792,54.04051829205194,526,0,0.1398,3.6324036064292193,205,0,7.57335,12.521161279110656,114,0,0.13942,4.557543424214408,259,0,0,0.008197155425219942,rssi_temporal_B_b
